Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price
SSD,SKC400S37/512G,Kingston,SSDNow KC400 512GB,382,85.5,1959,https://ssd.userbenchmark.com/SpeedTest/72936/KINGSTON-SKC400S37512G,255
SSD,ASX8200PNP-2TT-C,Adata,XPG SX8200 PRO 2TB,37,275,295,https://ssd.userbenchmark.com/SpeedTest/892867/NVMe-ADATA-SX8200PNP,252
SSD,SKC1000/960G,Kingston,KC1000 960GB,118,172,268,https://ssd.userbenchmark.com/SpeedTest/320126/KINGSTON-SKC1000960G,252
SSD,MZ-V7P1T0BW,Samsung,SSD 970 PRO 1TB,17,329,31082,https://ssd.userbenchmark.com/SpeedTest/497261/Samsung-SSD-970-PRO-1TB,250
SSD,,Samsung,PM961 1TB,68,231,5205,https://ssd.userbenchmark.com/SpeedTest/165378/NVMe-Samsung-MZVLW1T0,250
SSD,PH480GPM280SSDR,Patriot,Hellfire 480GB,140,153,749,https://ssd.userbenchmark.com/SpeedTest/184918/Patriot-Hellfire-M2,250
SSD,MKNP44SC240GB,Mushkin,Scorpion Deluxe PCIe 240GB,206,110,50,https://ssd.userbenchmark.com/SpeedTest/18266/Mushkin-Scorpion-Deluxe,250
SSD,MZ-750500BW,Samsung,SSD 750 EVO 500GB,240,100,27012,https://ssd.userbenchmark.com/SpeedTest/143302/Samsung-SSD-750-EVO-500GB,250
SSD,ASX8200NP-960GT-C,Adata,XPG SX8200 960GB,45,262,2965,https://ssd.userbenchmark.com/SpeedTest/504709/ADATA-SX8200NP,249
SSD,CSSD-F480GBMP500,Corsair,Force MP500 480GB,128,162,3252,https://ssd.userbenchmark.com/SpeedTest/223982/Force-MP500,249
SSD,SSD7CS2211-960-RB,PNY,CS2211 960GB,313,90.4,194,https://ssd.userbenchmark.com/PNY-CS2211-960GB/Rating/3631,249
SSD,SSD7CS2211-960-PB,PNY,CS2211 960GB,313,90.4,194,https://ssd.userbenchmark.com/PNY-CS2211-960GB/Rating/3631,249
SSD,MKNSSDTR240GB,Mushkin,Triactor 240GB,566,74.6,423,https://ssd.userbenchmark.com/SpeedTest/76610/MKNSSDTR240GB,249
SSD,WDS100T2X0C,WD,Black 1TB (2018),51,248,5772,https://ssd.userbenchmark.com/SpeedTest/486281/WDS100T2X0C-00L350,245
SSD,SD7UB2Q-512G-1022,SanDisk,X300s SATA 512GB,492,78.9,71,https://ssd.userbenchmark.com/SpeedTest/16017/SanDisk-SD7UB2Q512G1122,245
SSD,MZ-7TE500BW,Samsung,SSD 840 EVO 500GB,231,103,52707,https://ssd.userbenchmark.com/SpeedTest/1519/Samsung-SSD-840-EVO-500GB,242
SSD,ASP610SS3-1TM-C,Adata,Premier SP610 1TB,338,88.6,136,https://ssd.userbenchmark.com/SpeedTest/19263/ADATA-SP610,241
SSD,MTFDDAK480MBB,Micron,M500DC 480GB,491,78.9,154,https://ssd.userbenchmark.com/SpeedTest/21867/Micron-M500DC-MT,241
SSD,5MS24AA#ABC,HP,EX950 2TB,22,308,1761,https://ssd.userbenchmark.com/SpeedTest/710813/HP-SSD-EX950-2TB,232
SSD,SKC1000/480G,Kingston,KC1000 480GB,126,163,897,https://ssd.userbenchmark.com/SpeedTest/316248/KINGSTON-SKC1000480G,231
SSD,CT2000P2SSD8,Crucial,P2 3D 2TB,50,248,546,https://ssd.userbenchmark.com/SpeedTest/1332635/CT2000P2SSD8,230
SSD,SSD7CS2211-480-RB,PNY,CS2211 480GB,305,90.9,1642,https://ssd.userbenchmark.com/PNY-CS2211-480GB/Rating/3630,230
SSD,SSD7CS2211-480-PB,PNY,CS2211 480GB,305,90.9,1642,https://ssd.userbenchmark.com/PNY-CS2211-480GB/Rating/3630,230
SSD,ASP920SS3-512GM-C,Adata,Premier PRO SP920 512GB,467,80.4,269,https://ssd.userbenchmark.com/SpeedTest/26813/ADATA-SP920SS,230
