Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price
HDD,ST2000NM0033,Seagate,Constellation ES.3 2TB,49,85.9,3391,https://hdd.userbenchmark.com/SpeedTest/12036/ST2000NM0033-9ZM175,125
HDD,,Seagate,ST3500620AS 500GB,359,47.1,4745,https://hdd.userbenchmark.com/SpeedTest/3388/ST3500620AS,125
HDD,,WD,WD6400AARS-00Y5B1 640GB,376,46.2,2542,https://hdd.userbenchmark.com/SpeedTest/1604/WDC-WD6400AARS-00Y5B1,125
HDD,,Seagate,ST3500830AS 500GB,596,35,6551,https://hdd.userbenchmark.com/SpeedTest/3724/ST3500830AS,125
HDD,ST3300657SS,Seagate,Cheetah 15K.7 SAS 300GB,61,83.4,893,https://hdd.userbenchmark.com/SpeedTest/9679/SEAGATE-ST3300657SS,124
HDD,WD40EFRX,WD,Red 4TB (2013),95,78,40138,https://hdd.userbenchmark.com/WD-Red-4TB-2013/Rating/3525,123
HDD,,WD,WD2001FASS-00U0B0 2TB,160,66.3,4830,https://hdd.userbenchmark.com/SpeedTest/1611/WDC-WD2001FASS-00U0B0,121
HDD,WD2003FZEX,WD,Black 2TB (2013),36,88.5,108672,https://hdd.userbenchmark.com/WD-Black-2TB-2013/Rating/1821,120
HDD,PH3400U-1I72,Toshiba,MD04ACA400 4TB,57,84.4,8069,https://hdd.userbenchmark.com/Toshiba-MD04ACA400-4TB/Rating/3202,120
HDD,ST2000VN000,Seagate,NAS HDD 2TB,92,78.4,3034,https://hdd.userbenchmark.com/SpeedTest/9942/ST2000VN000-1H3164,120
HDD,,Hitachi,HUA722010CLA330 1TB,177,62.7,7478,https://hdd.userbenchmark.com/SpeedTest/1380/Hitachi-HUA722010CLA330,120
HDD,,Seagate,ST31000525SV 1TB,258,54.4,1866,https://hdd.userbenchmark.com/SpeedTest/9992/ST31000525SV,120
HDD,WD10EARS,WD,Green 1TB (2010),417,44.5,120320,https://hdd.userbenchmark.com/SpeedTest/1117/WDC-WD10EARS-00Y5B1,120
HDD,WD30EFRX,WD,Red 3TB (2012),137,68.9,56852,https://hdd.userbenchmark.com/WD-Red-3TB-2012/Rating/1386,119
HDD,WD30PURX,WD,Purple 3TB (2014),148,67.6,4845,https://hdd.userbenchmark.com/SpeedTest/15186/WDC-WD30PURX-64P,119
HDD,WD3200AAKS,WD,Blue 320GB (2008),403,45,48613,https://hdd.userbenchmark.com/SpeedTest/1186/WDC-WD3200AAKS-00B3A0,118
HDD,WD20EZRX,WD,Green 2TB (2012),168,64.7,143203,https://hdd.userbenchmark.com/WD-Green-2TB-2012/Rating/1781,117
HDD,WD5000BPKX,WD,Black 2.5 500GB (2013),321,49.3,3695,https://hdd.userbenchmark.com/SpeedTest/3355/WDC-WD5000BPKX-75HPJT0,117
HDD,,Toshiba,MK6461GSYN 640GB,343,48,571,https://hdd.userbenchmark.com/SpeedTest/2644/TOSHIBA-MK6461GSYN,116
