Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price
CPU,,Intel,Core i5-2500,312,70.5,66458,https://cpu.userbenchmark.com/SpeedTest/517/IntelR-CoreTM-i5-2500-CPU---330GHz,48
CPU,,Intel,Core i5-4300M,592,55.8,9783,https://cpu.userbenchmark.com/SpeedTest/5215/IntelR-CoreTM-i5-4300M-CPU---260GHz,48
CPU,,Intel,Core i5-1035G1,396,66.1,25858,https://cpu.userbenchmark.com/SpeedTest/895407/IntelR-CoreTM-i5-1035G1-CPU---100GHz,45
CPU,,Intel,Xeon E5-2670 v2,412,65.4,272,https://cpu.userbenchmark.com/SpeedTest/18414/IntelR-XeonR-CPU-E5-2670-v2---250GHz,45
CPU,,Intel,Core i5-2500S,415,65.3,2439,https://cpu.userbenchmark.com/SpeedTest/1699/IntelR-CoreTM-i5-2500S-CPU---270GHz,45
CPU,,Intel,Pentium G3450,572,56.8,1058,https://cpu.userbenchmark.com/SpeedTest/24201/IntelR-PentiumR-CPU-G3450---340GHz,45
CPU,,Intel,Core i5-4210M,591,55.8,12619,https://cpu.userbenchmark.com/SpeedTest/12839/IntelR-CoreTM-i5-4210M-CPU---260GHz,45
CPU,,Intel,Xeon E5507,612,55.1,205,https://cpu.userbenchmark.com/SpeedTest/13794/IntelR-XeonR-CPU-----------E5507----227GHz,44
CPU,,Intel,Core i3-1115G4,434,64,823,https://cpu.userbenchmark.com/SpeedTest/1333512/11th-Gen-IntelR-CoreTM-i3-1115G4---300GHz,43
CPU,,Intel,Core i3-3250,500,60.4,3192,https://cpu.userbenchmark.com/SpeedTest/4950/IntelR-CoreTM-i3-3250-CPU---350GHz,43
CPU,,AMD,Ryzen 3 3300U,613,55,1689,https://cpu.userbenchmark.com/SpeedTest/827713/AMD-Ryzen-3-3300U-with-Radeon-Vega-Mobile-Gfx,43
CPU,,AMD,Phenom II X4 920,649,53.8,927,https://cpu.userbenchmark.com/SpeedTest/1945/AMD-Phenomtm-II-X4-920-Processor,43
CPU,YD3000C6FHBOX,AMD,Athlon 3000G,535,58.5,6142,https://cpu.userbenchmark.com/SpeedTest/968952/AMD-Athlon-3000G-with-Radeon-Vega-Graphics,42
CPU,,Intel,Pentium G3460,538,58.4,1063,https://cpu.userbenchmark.com/Intel-Pentium-G3460/Rating/2818,42
CPU,,Intel,Core i7-2620M,619,54.9,13526,https://cpu.userbenchmark.com/SpeedTest/643/IntelR-CoreTM-i7-2620M-CPU---270GHz,42
CPU,,Intel,Core i3-1005G1,521,59.3,10242,https://cpu.userbenchmark.com/SpeedTest/906918/IntelR-CoreTM-i3-1005G1-CPU---120GHz,41
CPU,,Intel,Core i3-6167U,599,55.5,22,https://cpu.userbenchmark.com/SpeedTest/175469/IntelR-CoreTM-i3-6167U-CPU---270GHz,41
CPU,,Intel,Core i3-6157U,598,55.5,347,https://cpu.userbenchmark.com/SpeedTest/187565/IntelR-CoreTM-i3-6157U-CPU---240GHz,40
CPU,,Intel,Xeon X5472,627,54.5,304,https://cpu.userbenchmark.com/SpeedTest/3914/IntelR-XeonR-CPU-----------X5472----300GHz,40
CPU,,AMD,Phenom II X4 850,640,54.1,1232,https://cpu.userbenchmark.com/SpeedTest/3577/AMD-Phenomtm-II-X4-850-Processor,40
CPU,,AMD,Ryzen 3 2300U,674,52.8,2768,https://cpu.userbenchmark.com/SpeedTest/511816/AMD-Ryzen-3-2300U-with-Radeon-Vega-Mobile-Gfx,40
CPU,,AMD,A8-7670K APU (2014 D.Ka),689,52.1,1545,https://cpu.userbenchmark.com/SpeedTest/37178/AMD-A8-7670K-Radeon-R7-10-Compute-Cores-4C-6G,39
CPU,,Intel,Core i7-2920XM,460,62.7,811,https://cpu.userbenchmark.com/SpeedTest/459/IntelR-CoreTM-i7-2920XM-CPU---250GHz,38
CPU,,Intel,Xeon E5540,461,62.7,409,https://cpu.userbenchmark.com/SpeedTest/13822/IntelR-XeonR-CPU-----------E5540----253GHz,38
CPU,,Intel,Xeon X5470,541,58.3,1413,https://cpu.userbenchmark.com/SpeedTest/14102/IntelR-XeonR-CPU-----------X5470----333GHz,38
CPU,,Intel,Pentium G3260,644,54,8234,https://cpu.userbenchmark.com/SpeedTest/31434/IntelR-PentiumR-CPU-G3260---330GHz,38
CPU,,Intel,Xeon E31225,332,69.4,2720,https://cpu.userbenchmark.com/SpeedTest/4210/IntelR-XeonR-CPU-E31225---310GHz,37
CPU,,AMD,Phenom II X4 975,479,61.8,1056,https://cpu.userbenchmark.com/SpeedTest/3020/AMD-Phenomtm-II-X4-975-Processor,37
CPU,,Intel,Core i5-3330,369,67.4,47129,https://cpu.userbenchmark.com/SpeedTest/10/IntelR-CoreTM-i5-3330-CPU---300GHz,36
CPU,,Intel,Core i5-3330S,421,65.1,3521,https://cpu.userbenchmark.com/SpeedTest/4366/IntelR-CoreTM-i5-3330S-CPU---270GHz,36
CPU,,AMD,Phenom II X4 980,449,63.1,1026,https://cpu.userbenchmark.com/SpeedTest/5445/AMD-Phenomtm-II-X4-980-Processor,36
CPU,,AMD,Phenom II X4 830,581,56.2,1297,https://cpu.userbenchmark.com/SpeedTest/2164/AMD-Phenomtm-II-X4-830-Processor,36
CPU,,Intel,Core i5-3475S,333,69.4,1098,https://cpu.userbenchmark.com/SpeedTest/10117/IntelR-CoreTM-i5-3475S-CPU---290GHz,35
CPU,,Intel,Core i5-2300,389,66.3,15617,https://cpu.userbenchmark.com/SpeedTest/291/IntelR-CoreTM-i5-2300-CPU---280GHz,34
CPU,,Intel,Xeon X3450,404,65.8,2832,https://cpu.userbenchmark.com/SpeedTest/10439/IntelR-XeonR-CPU-----------X3450----267GHz,34
CPU,,Intel,Core i5-5287U,565,57,360,https://cpu.userbenchmark.com/SpeedTest/25610/IntelR-CoreTM-i5-5287U-CPU---290GHz,34
CPU,,Intel,Core i5-4200M,616,55,28119,https://cpu.userbenchmark.com/SpeedTest/2341/IntelR-CoreTM-i5-4200M-CPU---250GHz,34
CPU,,Intel,Core i3-2120T,629,54.4,925,https://cpu.userbenchmark.com/SpeedTest/2686/IntelR-CoreTM-i3-2120T-CPU---260GHz,34
CPU,,AMD,Phenom II X6 1035T,573,56.7,2065,https://cpu.userbenchmark.com/SpeedTest/1603/AMD-Phenomtm-II-X6-1035T-Processor,33
CPU,,AMD,A10-5800B APU (2012 D.Tr),590,55.9,841,https://cpu.userbenchmark.com/SpeedTest/14080/AMD-A10-5800B-APU-with-Radeontm-HD-Graphics,33
CPU,,Intel,Core i5-3340M,604,55.3,10621,https://cpu.userbenchmark.com/SpeedTest/1915/IntelR-CoreTM-i5-3340M-CPU---270GHz,33
CPU,,Intel,Core i7-2640M,611,55.1,11002,https://cpu.userbenchmark.com/SpeedTest/791/IntelR-CoreTM-i7-2640M-CPU---280GHz,33
CPU,,Intel,Core i7-4650U,691,52.1,3731,https://cpu.userbenchmark.com/SpeedTest/6364/IntelR-CoreTM-i7-4650U-CPU---170GHz,33
CPU,,Intel,Xeon E3-1240,301,71.1,1779,https://cpu.userbenchmark.com/SpeedTest/5243/IntelR-XeonR-CPU-E31240---330GHz,32
CPU,,Intel,Core i7 880,318,70.3,690,https://cpu.userbenchmark.com/SpeedTest/15321/IntelR-CoreTM-i7-CPU---------880----307GHz,32
CPU,,AMD,Phenom II X4 940,628,54.4,3047,https://cpu.userbenchmark.com/SpeedTest/2203/AMD-Phenomtm-II-X4-940-Processor,32
CPU,,AMD,Ryzen 5 2500U,665,53,45486,https://cpu.userbenchmark.com/SpeedTest/378273/AMD-Ryzen-5-2500U-with-Radeon-Vega-Mobile-Gfx,32
